iter	RMSE
0	0.9800668502
1	0.9427193663
2	0.9088750014
3	0.8803301236
4	0.8518646691
5	0.8280423141
6	0.8070131176
7	0.7882814459
8	0.7706570098
9	0.7548741819
10	0.7418467025
11	0.7280404494
12	0.7150062891
13	0.7052683193
14	0.6969580901
15	0.690628223
16	0.6843453912
17	0.6781566099
18	0.6722782035
19	0.666558114
20	0.6623928124
21	0.657107209
22	0.6533762511
23	0.6493210727
24	0.6452818103
25	0.6403543736
26	0.6369735747
27	0.6336536043
28	0.6303551127
29	0.6273466443
30	0.6248549335
31	0.6223956712
32	0.6197322555
33	0.6179930677
34	0.6160242681
35	0.6139488596
36	0.6104426381
37	0.6088334608
38	0.6071171342
39	0.6056331287
40	0.6040945959
41	0.6021418683
42	0.5994782012
43	0.5975804645
44	0.5964368555
45	0.5934915273
46	0.5920142413
47	0.591075173
48	0.589699786
49	0.5884446943
50	0.5875645102
51	0.5861921848
52	0.584503429
53	0.5832664828
54	0.581695839
55	0.5794493597
56	0.5777365638
57	0.5763970857
58	0.5751287655
59	0.5738893934
60	0.5731204607
61	0.5723147122
62	0.5713929895
63	0.5698222586
64	0.568293163
65	0.5678592455
66	0.5664626818
67	0.5654922995
68	0.5640230815
69	0.5632562122
70	0.5621656653
71	0.5612638774
72	0.5605409912
73	0.5597750144
74	0.5583924616
75	0.5576756238
76	0.557058178
77	0.5555346493
78	0.5548101125
79	0.5538678078
80	0.5528512295
81	0.5519949754
82	0.5514969352
83	0.5505246791
84	0.54941049
85	0.5488023416
86	0.5479362751
87	0.5465975648
88	0.545370191
89	0.544776028
90	0.5437425335
91	0.5431090654
92	0.542202694
93	0.5412543097
94	0.5402210521
95	0.5393139982
96	0.5381938283
97	0.5374126959
98	0.5366399899
99	0.5360453741
100	0.5354915512
101	0.5347780358
102	0.5341104762
103	0.5333695761
104	0.5323093687
105	0.5309410522
106	0.5302691564
107	0.5296686552
108	0.5291078652
109	0.5275655084
110	0.5271026768
111	0.5259840198
112	0.5254857928
113	0.5250522958
114	0.5237220093
115	0.5226080594
116	0.5211779356
117	0.5195932239
118	0.5191314335
119	0.5187342724
120	0.5182869677
121	0.5179183107
122	0.5176078633
123	0.516249019
124	0.5158810692
125	0.5155384404
126	0.5145801183
127	0.5138586288
128	0.5131406345
129	0.512749741
130	0.5123815804
131	0.5114127388
132	0.5098830954
133	0.5093064236
134	0.5089754322
135	0.5077782217
136	0.5071839302
137	0.5065407217
138	0.5055766395
139	0.5052666983
140	0.5043921516
141	0.5037789659
142	0.5029733219
143	0.5024789555
144	0.5020854338
145	0.5009404416
146	0.5004031779
147	0.4992041297
148	0.4988859389
149	0.4985868509
150	0.4979514574
151	0.4975168072
152	0.4972346469
153	0.4968274886
154	0.4958129406
155	0.4951347191
156	0.4940270588
157	0.4932155252
158	0.4926305056
159	0.4915126949
160	0.4904392809
161	0.4895838932
162	0.489281849
163	0.488941826
164	0.4881116691
165	0.4874041737
166	0.4869103006
167	0.48641581
168	0.4860587049
169	0.485598773
170	0.4851366859
171	0.4846482459
172	0.4838313289
173	0.4825919144
174	0.482300773
175	0.4819458039
176	0.4810045974
177	0.4807795515
178	0.4801956313
179	0.4795228296
180	0.4793135395
181	0.4787943331
182	0.4782428896
183	0.4773632587
184	0.4768490121
185	0.4759904317
186	0.475385403
187	0.4745836164
188	0.4738838329
189	0.4729515276
190	0.4724807194
191	0.4719079133
192	0.4713366881
193	0.4710880457
194	0.4703270187
195	0.4697136951
196	0.4693031502
197	0.4691090114
198	0.4688264611
199	0.4681565471
200	0.4679849795
201	0.4672911424
202	0.4668668086
203	0.4664991719
204	0.465547898
205	0.4651333303
206	0.4638913797
207	0.4630135822
208	0.4623283214
209	0.4619814154
210	0.4617408879
211	0.4614100469
212	0.4603108205
213	0.4595494406
214	0.458993936
215	0.4587676871
216	0.4579134952
217	0.4570733775
218	0.4560707067
219	0.4555368543
220	0.4551800567
221	0.4545546773
