iter	Passed	Remaining
0	75	75259
1	76	38304
2	77	25842
3	78	19527
4	79	15733
5	79	13202
6	80	11395
7	80	10041
8	81	8986
9	82	8142
10	82	7451
11	83	6875
12	84	6389
13	84	5970
14	85	5609
15	86	5293
16	86	5013
17	88	4820
18	89	4599
19	89	4399
20	90	4219
21	91	4049
22	91	3897
23	92	3760
24	93	3630
25	93	3509
26	94	3398
27	94	3297
28	95	3201
29	96	3112
30	96	3031
31	97	2951
32	98	2881
33	98	2811
34	99	2744
35	100	2683
36	101	2630
37	101	2577
38	102	2525
39	103	2475
40	103	2428
41	104	2381
42	105	2337
43	105	2297
44	106	2258
45	107	2222
46	107	2185
47	108	2151
48	109	2118
49	109	2088
50	110	2058
51	111	2028
52	111	1999
53	112	1971
54	113	1944
55	113	1919
56	114	1893
57	115	1868
58	115	1843
59	116	1822
60	117	1801
61	117	1781
62	118	1760
63	118	1739
64	119	1721
65	120	1700
66	120	1683
67	121	1667
68	122	1651
69	123	1636
70	123	1621
71	124	1606
72	125	1591
73	126	1576
74	126	1561
75	127	1546
76	127	1532
77	128	1519
78	129	1506
79	129	1493
80	130	1480
81	131	1467
82	131	1454
83	132	1443
84	133	1432
85	133	1420
86	134	1410
87	135	1400
88	135	1389
89	136	1381
90	137	1370
91	137	1360
92	138	1350
93	139	1341
94	139	1332
95	140	1322
96	141	1314
97	141	1306
98	142	1298
99	143	1289
100	143	1280
101	144	1271
102	145	1264
103	145	1255
104	146	1249
105	147	1242
106	147	1234
107	148	1227
108	149	1219
109	149	1211
110	150	1205
111	151	1199
112	151	1192
113	152	1185
114	154	1185
115	154	1179
116	155	1172
117	156	1166
118	156	1162
119	157	1155
120	158	1149
121	159	1144
122	159	1138
123	160	1132
124	161	1128
125	161	1122
126	162	1116
127	162	1110
128	163	1104
129	164	1099
130	164	1094
131	165	1088
132	166	1083
133	166	1078
134	167	1074
135	168	1069
136	169	1064
137	169	1060
138	170	1055
139	171	1050
140	171	1045
141	172	1041
142	172	1036
143	173	1033
144	174	1028
145	175	1026
146	176	1021
147	176	1018
148	177	1014
149	178	1010
150	179	1007
151	179	1002
152	180	998
153	181	995
154	181	991
155	182	987
156	183	983
157	183	979
158	184	975
159	185	971
160	185	968
161	186	965
162	187	963
163	188	960
164	189	956
165	189	952
166	190	949
167	191	946
168	191	942
169	192	939
170	192	935
171	193	932
172	194	928
173	194	925
174	195	922
175	196	919
176	197	916
177	198	914
178	198	912
179	199	909
180	200	906
181	201	903
182	201	900
183	202	897
184	202	894
185	203	891
186	204	888
187	205	885
188	205	883
189	206	880
190	207	877
191	207	873
192	208	871
193	208	868
194	209	865
195	210	862
196	210	860
197	211	857
198	212	854
199	212	851
200	213	848
201	214	846
202	214	843
203	215	840
204	216	837
205	216	834
206	217	831
207	217	829
208	218	826
209	219	826
210	220	824
211	221	822
212	221	819
213	222	817
214	223	814
215	223	812
216	224	809
217	225	807
218	225	805
219	226	802
220	227	800
221	227	798
